City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
97,Bluff,-46.6,168.3333,55.8,57,84,17.07,NZ,broken clouds,2022-02-12 07:24:26
98,Nampula,-15.1165,39.2666,76.95,83,75,6.91,MZ,broken clouds,2022-02-12 07:24:26
99,Sembe,1.6481,14.5806,79.27,61,53,2.46,CG,broken clouds,2022-02-12 07:24:27
100,Talnakh,69.4865,88.3972,-7.73,83,100,8.72,RU,overcast clouds,2022-02-12 07:24:27
101,Sur,22.5667,59.5289,75.16,40,0,4.0,OM,clear sky,2022-02-12 07:24:28
102,Luderitz,-26.6481,15.1594,80.35,58,3,0.47,NA,clear sky,2022-02-12 07:24:28
103,Port Alfred,-33.5906,26.891,75.6,79,74,10.58,ZA,broken clouds,2022-02-12 07:24:29
104,Cabra,37.4725,-4.4421,46.9,82,33,4.65,ES,scattered clouds,2022-02-12 07:24:29
105,Kahului,20.8947,-156.47,73.85,78,20,8.05,US,few clouds,2022-02-12 07:21:53
106,Shenjiamen,29.9576,122.298,47.97,91,100,8.34,CN,overcast clouds,2022-02-12 07:24:29
107,Onega,63.9061,38.1404,17.92,94,99,9.91,RU,light snow,2022-02-12 07:24:30
108,Atar,20.5169,-13.0499,62.06,21,98,6.89,MR,overcast clouds,2022-02-12 07:24:31
109,Hualmay,-11.0964,-77.6139,69.51,85,100,6.44,PE,overcast clouds,2022-02-12 07:24:31
110,Clyde River,70.4692,-68.5914,-18.17,69,75,28.77,CA,light snow,2022-02-12 07:24:32
111,Alice Springs,-23.7,133.8833,89.15,18,0,9.22,AU,clear sky,2022-02-12 07:23:18
112,Russell,32.3502,-85.1999,49.71,87,0,0.0,US,clear sky,2022-02-12 07:24:32
113,Sarh,9.1429,18.3923,71.51,37,0,6.91,TD,clear sky,2022-02-12 07:24:33
114,Khatanga,71.9667,102.5,4.12,81,88,12.46,RU,overcast clouds,2022-02-12 07:24:33
115,Camana,-16.6228,-72.7111,70.02,79,33,7.14,PE,scattered clouds,2022-02-12 07:24:34
116,Ilinskiy,55.619,38.1182,32.38,86,40,7.0,RU,scattered clouds,2022-02-12 07:24:34
117,Kununurra,-15.7667,128.7333,94.98,46,19,4.61,AU,few clouds,2022-02-12 07:24:35
118,Cape Town,-33.9258,18.4232,77.88,62,0,8.05,ZA,clear sky,2022-02-12 07:21:56
119,Merauke,-8.4667,140.3333,83.89,72,53,9.8,ID,broken clouds,2022-02-12 07:24:36
120,Lompoc,34.6391,-120.4579,67.57,57,0,12.66,US,clear sky,2022-02-12 07:24:36
121,Orange,33.7,-117.7675,75.47,39,0,0.0,US,clear sky,2022-02-12 07:24:37
122,Umkomaas,-30.2067,30.7978,81.68,74,6,6.26,ZA,clear sky,2022-02-12 07:24:37
123,Barrow,71.2906,-156.7887,-36.38,100,0,4.61,US,mist,2022-02-12 07:24:37
124,Verkhnyaya Inta,65.9811,60.3094,8.24,75,100,11.86,RU,overcast clouds,2022-02-12 07:24:38
125,Vilhena,-12.7406,-60.1458,69.35,99,100,2.68,BR,light rain,2022-02-12 07:24:38
126,Inta,66.0317,60.1659,8.17,77,100,9.78,RU,overcast clouds,2022-02-12 07:24:39
127,Deseronto,44.2001,-77.0494,36.81,98,100,13.06,CA,overcast clouds,2022-02-12 07:24:39
128,Bengkulu,-3.8004,102.2655,82.94,69,100,7.58,ID,overcast clouds,2022-02-12 07:24:40
129,Aizkraukle,56.6048,25.2553,25.9,82,6,8.05,LV,clear sky,2022-02-12 07:24:40
130,Chuy,-33.6971,-53.4616,69.08,94,90,4.38,UY,overcast clouds,2022-02-12 07:24:40
131,Iqaluit,63.7506,-68.5145,-18.31,75,40,5.75,CA,scattered clouds,2022-02-12 07:25:41
132,Saint-Philippe,-21.3585,55.7679,85.12,67,10,8.48,RE,clear sky,2022-02-12 07:25:41
133,Naze,28.3667,129.4833,59.92,91,100,4.61,JP,overcast clouds,2022-02-12 07:25:42
134,Naples,40.8333,14.25,51.78,76,0,4.0,IT,clear sky,2022-02-12 07:25:42
135,Sobolevo,54.4299,31.8996,24.62,92,100,11.14,RU,overcast clouds,2022-02-12 07:25:43
136,Pedernales,18.0384,-71.744,75.65,67,0,5.46,DO,clear sky,2022-02-12 07:25:43
137,Kibre Mengist,5.8833,38.9833,73.96,20,39,5.26,ET,scattered clouds,2022-02-12 07:25:44
138,Puyang,29.4603,119.8861,45.1,92,100,3.53,CN,overcast clouds,2022-02-12 07:25:44
139,Hamilton,39.1834,-84.5333,41.63,84,100,14.97,US,overcast clouds,2022-02-12 07:23:05
140,Lundazi,-12.2929,33.1782,67.59,82,100,3.83,ZM,overcast clouds,2022-02-12 07:25:45
141,Nikolskoye,59.7035,30.7861,26.49,93,17,7.65,RU,few clouds,2022-02-12 07:25:45
142,Phek,25.6667,94.5,57.02,33,6,4.0,IN,clear sky,2022-02-12 07:25:46
143,Darab,28.7519,54.5444,61.72,33,0,5.93,IR,clear sky,2022-02-12 07:25:46
144,Ixtapa,20.7,-105.2,66.22,81,2,2.42,MX,clear sky,2022-02-12 07:25:46
145,Tandur,17.2333,77.5833,82.98,28,67,5.75,IN,broken clouds,2022-02-12 07:25:47
146,Baykit,61.67,96.37,4.96,86,6,1.97,RU,clear sky,2022-02-12 07:25:47
147,Abadan,30.3392,48.3043,60.75,48,40,13.8,IR,scattered clouds,2022-02-12 07:25:48
148,Takhtamygda,54.1,123.5667,1.62,63,99,6.58,RU,overcast clouds,2022-02-12 07:25:48
149,Yar-Sale,66.8333,70.8333,-2.25,82,100,14.76,RU,overcast clouds,2022-02-12 07:25:48
150,Namatanai,-3.6667,152.4333,81.43,78,100,2.21,PG,moderate rain,2022-02-12 07:25:49
151,Faanui,-16.4833,-151.75,81.88,72,99,13.2,PF,overcast clouds,2022-02-12 07:25:49
152,Erzincan,39.75,39.5,24.1,74,0,1.14,TR,clear sky,2022-02-12 07:25:50
153,Sakaiminato,35.55,133.2333,51.78,46,20,9.22,JP,few clouds,2022-02-12 07:25:50
154,Crato,-7.2342,-39.4094,74.91,88,75,2.3,BR,broken clouds,2022-02-12 07:25:50
155,Kruisfontein,-34.0033,24.7314,77.95,38,0,5.82,ZA,clear sky,2022-02-12 07:25:51
156,Sidi Ali,36.0998,0.4206,46.51,88,50,4.21,DZ,scattered clouds,2022-02-12 07:25:51
157,Inuvik,68.3499,-133.7218,-21.14,76,0,6.91,CA,clear sky,2022-02-12 07:25:52
158,Coahuayana,18.7333,-103.6833,67.87,59,61,4.85,MX,broken clouds,2022-02-12 07:25:52
159,Wloclawek,52.6482,19.0678,28.42,78,5,5.86,PL,clear sky,2022-02-12 07:25:53
160,Panama City,8.9936,-79.5197,80.06,82,75,4.61,PA,broken clouds,2022-02-12 07:25:53
161,Bullhead City,35.1478,-114.5683,72.21,19,0,18.41,US,clear sky,2022-02-12 07:25:54
162,Flinders,-34.5833,150.8552,70.88,89,51,5.99,AU,light rain,2022-02-12 07:25:54
163,College,64.8569,-147.8028,1.58,79,40,0.0,US,scattered clouds,2022-02-12 07:25:55
164,Nabire,-3.3667,135.4833,82.94,74,62,4.03,ID,broken clouds,2022-02-12 07:25:55
165,Nyakabindi,-2.6333,33.9833,72.79,63,100,4.81,TZ,overcast clouds,2022-02-12 07:25:55
166,Pierre,44.3683,-100.351,9.86,60,100,1.99,US,overcast clouds,2022-02-12 07:25:56
167,Yagodnoye,62.55,149.6667,-26.45,94,41,3.27,RU,scattered clouds,2022-02-12 07:25:56
168,Pangai,-19.8,-174.35,82.76,73,61,19.19,TO,broken clouds,2022-02-12 07:25:57
169,Hami,42.8,93.45,32.29,60,96,6.82,CN,overcast clouds,2022-02-12 07:25:57
170,Labuan,5.2767,115.2417,86.16,79,20,3.44,MY,few clouds,2022-02-12 07:25:57
171,Hobart,-42.8794,147.3294,70.23,56,60,10.36,AU,broken clouds,2022-02-12 07:24:46
172,Oussouye,12.485,-16.5469,71.69,19,0,9.71,SN,clear sky,2022-02-12 07:25:58
173,Dikson,73.5069,80.5464,2.8,80,99,28.01,RU,overcast clouds,2022-02-12 07:25:59
174,Bethel,41.3712,-73.414,50.11,60,0,6.91,US,clear sky,2022-02-12 07:24:38
175,La Primavera,5.4906,-70.4092,76.75,59,100,5.32,CO,overcast clouds,2022-02-12 07:25:59
176,Bertoua,4.5833,13.6833,71.94,21,9,3.36,CM,clear sky,2022-02-12 07:26:00
177,Saskylakh,71.9167,114.0833,3.34,78,92,14.9,RU,overcast clouds,2022-02-12 07:26:00
178,Ola,59.5833,151.2833,3.15,80,97,2.66,RU,overcast clouds,2022-02-12 07:21:19
179,Ostrovnoy,68.0531,39.5131,16.54,93,97,7.72,RU,overcast clouds,2022-02-12 07:27:01
180,Pochutla,15.7432,-96.4661,70.29,69,51,3.47,MX,broken clouds,2022-02-12 07:27:01
181,Si Racha,13.1737,100.9311,88.32,80,90,6.8,TH,overcast clouds,2022-02-12 07:27:02
182,Acarau,-2.8856,-40.12,77.0,85,83,7.61,BR,broken clouds,2022-02-12 07:27:02
183,Chokurdakh,70.6333,147.9167,-3.08,96,100,13.85,RU,overcast clouds,2022-02-12 07:27:03
184,Tuatapere,-46.1333,167.6833,55.81,63,91,10.74,NZ,overcast clouds,2022-02-12 07:27:03
185,Dunedin,-45.8742,170.5036,54.81,71,100,10.0,NZ,overcast clouds,2022-02-12 07:27:03
